Opp ID,Opp Name,Type,Stage,Product Flag,CRM Region,Close Date,Start Date,Created Date,Qualified Date,Net New ACV (USD),Opp Owner,Account Owner,Week Start,Days from Qualified,Type,Reporting Region,Reporting Manager,Forecast Category
1,OPP - 1 - Net New,Net New,Stage 3,Sign,AMER,09/01/2025,09/01/2025,02/10/2025,02/10/2025,"$489,731",REP 1,REP 1,02/10/2025,203,Not Run-Rate,AMER,Rubeus Hagrid,Pipeline
2,OPP - 2 - Net New,Net New,Stage 3,Sign,AMER,9/30/2025,3/27/2025,9/17/2024,9/17/2024,"$388,608",REP 2,REP 2,9/16/2024,378,Not Run-Rate,AMER,Hermione Granger,Pipeline
3,OPP - 3 - Renewal,Renewal,Stage 4,Core,AMER,6/30/2025,6/30/2025,6/28/2024,6/28/2024,"$321,951",REP 3,REP 3,6/24/2024,367,Not Run-Rate,AMER,Susan Bones,Best Case
4,OPP - 4 - Net New,Net New,Stage 3,Dash,APAC,05/02/2025,3/28/2025,2/19/2025,2/19/2025,"$235,294",REP 4,REP 23,2/17/2025,72,Not Run-Rate,APAC,Severus Snape,Pipeline
5,OPP - 5 - Upsell,Upsell,Stage 2,Core,JAPAN,6/23/2025,6/23/2025,10/14/2024,10/14/2024,"$227,922",REP 5,REP 5,10/14/2024,252,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
6,OPP - 6 - Net New,Net New,Stage 3,Core,AMER,8/15/2025,8/15/2025,02/07/2025,02/07/2025,"$215,100",REP 6,REP 6,02/03/2025,189,Not Run-Rate,AMER,Cho Chang,Pipeline
7,OPP - 7 - Net New,Net New,Stage 2,Core,JAPAN,09/01/2025,10/01/2024,08/03/2023,08/03/2023,"$212,498",REP 7,REP 7,7/31/2023,760,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
8,OPP - 8 - Net New,Net New,Stage 3,Core,AMER,06/10/2025,6/30/2026,02/12/2025,03/04/2025,"$208,542",REP 8,REP 65,03/03/2025,118,Not Run-Rate,AMER,Filius Flitwick,Pipeline
9,OPP - 9 - Net New,Net New,Stage 2,Core,AMER,6/30/2025,10/31/2025,1/24/2025,1/24/2025,"$182,480",REP 9,REP 9,1/20/2025,157,Not Run-Rate,EMEA,Amelia Bones,Pipeline
10,OPP - 10 - Net New,Net New,Stage 2,Core,JAPAN,07/01/2025,7/21/2023,7/21/2023,7/21/2023,"$182,338",REP 7,REP 7,7/17/2023,711,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
11,OPP - 11 - Net New,Net New,Stage 2,Dash,AMER,9/30/2025,9/30/2025,04/08/2025,04/08/2025,"$177,000",REP 10,REP 10,04/07/2025,175,Not Run-Rate,AMER,Susan Bones,Pipeline
12,OPP - 12 - Net New,Net New,Stage 2,Core,AMER,8/22/2025,04/08/2022,06/03/2021,06/03/2021,"$174,240",REP 8,REP 8,5/31/2021,1541,Not Run-Rate,AMER,Filius Flitwick,Pipeline
13,OPP - 13 - Net New,Net New,Stage 2,Dash,JAPAN,6/30/2025,6/30/2025,04/06/2025,04/06/2025,"$172,071",REP 5,REP 5,04/04/2025,85,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
14,OPP - 14 - Net New,Net New,Stage 2,Core,JAPAN,05/09/2025,5/25/2025,03/10/2025,03/10/2025,"$158,961",REP 7,REP 7,03/10/2025,60,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
15,OPP - 15 - Net New,Net New,Stage 2,Core,JAPAN,09/01/2025,11/19/2024,11/18/2024,11/18/2024,"$155,844",REP 7,REP 7,11/18/2024,287,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
16,OPP - 16 - Renewal,Renewal,Stage 2,Core,JAPAN,6/20/2025,6/20/2025,6/19/2024,04/01/2025,"$147,354",REP 11,REP 11,3/31/2025,366,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
17,OPP - 17 - Net New,Net New,Stage 2,Sign,AMER,07/01/2025,12/04/2024,5/28/2024,5/28/2024,"$130,380",REP 12,REP 48,5/27/2024,399,Not Run-Rate,AMER,Harry Potter,Pipeline
18,OPP - 18 - Net New,Net New,Stage 2,Core,JAPAN,09/01/2025,2/22/2024,2/22/2024,2/22/2024,"$126,623",REP 7,REP 7,2/19/2024,557,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
19,OPP - 19 - Net New,Net New,Stage 2,Dash,EMEA,4/30/2025,4/30/2025,10/17/2024,10/17/2024,"$122,480",REP 13,REP 17,10/14/2024,195,Not Run-Rate,EMEA,Amelia Bones,Pipeline
